Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
85;BGM-0001;7;7;3;5;3;6;3;5;4;1;1;5;1;2;3;7;5;1;1;1;3;0;2;2;7;5;3;0;4;3;2;3;90;15.1;5.28;2.864091263;22.92;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;9.12029060875076;4.03559442651072;3.83763987372113;4.26695958754464;33.839360633477;7.03624896256009;18.9420649950728;30.8599755470563;1.86425094065163
92;BGM-0014;5;7;3;5;3;6;2;7;3;1;1;5;0;5;3;7;5;1;2;1;2;1;1;2;3;5;2;1;3;3;1;5;110;16.98;5.46;3.112927312;29.74;2.636666667;25.82222222;61.57111111;5.45366655356835;2.02997446594054;1.7536835423376;8.96662995205844;3.79212194654307;3.75196301992367;4.45825632254224;33.3252770591193;12.3951184010581;15.2575514210779;44.9950209475282;1.99070077993071
113;BGM-0037;3;3;5;3;3;6;3;3;3;1;1;5;1;2;3;3;5;1;1;1;1;0;2;2;7;3;3;0;4;3;1;5;0;14.02;2.88;4.98333271;18.08;2.783333333;27.375;57.64833333;7.28656959881236;2.14913999183189;2.19403636844083;8.96662995205844;3.97482174198887;2.47132509601755;5.99277779481741;36.8500549436215;17.6389099888655;16.7865876759574;49.822044873557;1.85659722532939
117;BGM-0043;5;5;5;3;3;7;1;3;3;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;7;5;3;1;4;5;1;7;90;15.5;4.98;3.115268542;27.28;2.44;40.66666667;53.53;4.28434784825581;2.06925494828223;2.05804315090305;9.04059631583792;4.64417615127636;3.21730391270142;6.21253336602479;31.7158581151295;23.8288911584818;19.805060394423;50.3912395964113;1.98681200707438
119;BGM-0045;7;5;5;5;3;9;3;7;4;2;1;3;1;5;3;3;5;1;2;1;3;3;2;2;7;3;3;0;4;7;1;7;100;11.84;3.36;3.584107514;18.48;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.01421332704864;2.05804315090305;9.69251325647586;4.03559442651072;3.56667918948034;6.35353846883372;35.6655596533189;21.0667537926738;26.2932547912915;43.1699180170283;2.22295957429506
125;BGM-0052;3;5;5;3;2;5;4;5;4;3;1;5;0;5;3;7;5;1;2;1;2;3;1;2;7;3;3;0;4;3;2;5;100;13.9;3.94;3.538855098;17.12;2.813333333;27;76.02833333;7.0197470717622;2.10782597945426;1.89466633562964;8.96662995205844;3.33719156430533;3.38581984411656;6.70654211865222;33.5088012631096;24.0853612697808;17.8698625683853;56.886791925615;2.06435586059194
137;BGM-0067;7;9;7;9;3;9;3;7;4;2;3;3;0;4;3;7;5;1;1;1;2;1;2;2;7;5;3;0;4;3;3;5;90;19.14;4.6;4.179912053;21.9;2.84;21.25;52.45833333;7.51169216986158;2.36772230233486;1.91811272382434;8.96662995205844;2.75339794423401;3.19970063277872;4.96406008673073;33.2010911259037;12.6136551032989;16.8770999679258;38.3034861067281;1.97448514072539
141;BGM-0074;5;5;5;3;3;9;3;7;4;1;1;5;1;5;3;7;5;1;1;1;2;1;2;3;7;5;3;0;4;3;3;3;90;10.76;3.36;3.20993464;19.38;2.28;17.64583333;64.85416667;7.32851625432976;1.77648830971609;1.71071723921865;8.96662995205844;3.21214866639546;3.58783876531552;5.20644642000797;34.5477685043981;17.1500167211815;17.5829231177423;48.3168855871235;1.82499748216655
143;BGM-0076;3;7;5;3;2;7;1;3;1;1;1;5;1;2;3;7;5;1;2;1;1;0;2;2;3;5;3;0;4;3;3;3;0;19.56;7.26;2.695438777;28.92;3.01;24.35833333;55.80833333;6.65159640883907;2.14913999183189;2.17058998024612;8.96662995205844;4.6992655907355;4.04275041064317;7.46175805627794;38.3455128368479;18.7788799900678;25.5346518873792;43.4113891645698;1.87550099844151
146;BGM-0082;3;7;3;3;3;9;2;5;4;1;1;5;1;5;3;3;3;1;1;1;2;2;2;3;7;5;3;0;3;3;2;5;90;17.08;3.88;4.439273766;24.42;3.396666667;35.33333333;75.68333333;3.66898609520843;2.06925494828223;2.05804315090305;9.32767902183807;4.19548192180354;2.71585341523979;7.97820538932882;35.0115185420511;28.634268581199;27.6979190417736;50.7674102855899;2.29047082715871
