PLOT ;Ano;Campo;Local;Genotipos-BGM-;Genotipos;Bloco;PRC;PTR;"Peso da parte aerea			|CO_334:0000016";IC;"Altura de planta			|CO_334:0000018";"Altura de planta sem folha			|CO_334:0000125";NMa ;DMC (specific gravimetry);HCN (Lab);PROD-AMD;"Porte de planta			|CO_334:0000099";PRNC;Vigor;"Retencao foliar			|CO_334:0000048";"Numero de raiz			|CO_334:0000011";Peso raiz ;Teor de amido Corrigido;DMC Forno;"HCN-1			|CO_334:0000091";"HCN-2			|CO_334:0000091";"HCN-3			|CO_334:0000091";"HCN-4			|CO_334:0000092";"HCN-5			|CO_334:0000093";"HCN-6			|CO_334:0000094";"HCN-7			|CO_334:0000095";"HCN-8			|CO_334:0000096";"HCN-9			|CO_334:0000097"
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-2123;9624-09;1;3.13;3.13;15.63;16.68;1.74;-;4.36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-2123;9624-09;2;0;0;5.47;0;1.35;-;3.38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-2123;9624-09;3;-;-;4.69;-;1.02;-;2.54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-0023;BGM-0023;1;41.56;47.81;46.88;50.49;1.28;-;3.21;29.91;28.93;12.08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-0023;BGM-0023;2;44.38;45.94;49.06;48.36;2.29;-;5.71;29.93;21.54;11.61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-0023;BGM-0023;3;68.91;71.25;56.56;55.75;2.68;-;6.69;31.52;22.3;19.14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-0025;BGM-0025;1;18.13;21.25;21.25;50;1.74;-;4.34;35.34;23.01;6.52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-0025;BGM-0025;2;21.88;25;27.5;47.62;2.02;-;5.05;26.68;33.87;5.51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-0025;BGM-0025;3;13.13;16.25;29.38;35.61;2.3;-;5.75;27.92;34.19;3.78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2011;Agroverde1;CNPMF (Cruz das Almas);BGM-0027;BGM-0027;1;40.63;43.75;35;55.56;2.03;-;5.06;35.12;33.49;13.33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
