Acessos,CorFolhaApical,CorPeciolo,CorFolhaDesenv,CorNerv,CorCortexCaule,CorExternaCaule,CorEpidCaule,CorRamosTerm,CorExternaRzs,CorCortexRzs,CorPolpaRzs,NLobulos,Pubescencia,FormaLobuloCentral,PosicaoPeciolo,Sinuosidade,ComprEstip,HabCrescCaule,TipoPlan,MargEstip,HabRamif,NiveisRam,ProemCicatrizesFolhas,FormaRzs,TxtEpidermeRzs,PresPedunculoRzs,PosicaoRzs,Flowering,DestqPelicRz,DestqCortexRz,ConstrRzs,ComprFilotaxia,AnguloRamif,ComprLobulo,LargLobulo,RelComprLar,ComprPeciolo,EspEntreCasca,ComprMedRzs,DiamMedRzs
11-Conquista-2,5,2,3,3,3,9,3,3,4,1,1,5,1,5,3,3,3,1,2,2,2,3,1,2,7,0,2,0,3,3,2,3,90,10.9,4,2.686159504,16.44,2.386666667,27,58.66666667
2018g-06-1,7,5,5,3,2,9,4,3,4,1,1,5,1,5,5,3,3,1,1,2,2,3,1,3,7,5,3,0,4,3,2,5,90,13.4,3.28,4.200252109,18.06,1.206666667,27.66666667,47.31333333
2018g-06-2,3,7,5,3,3,9,2,3,4,3,1,3,1,5,1,3,5,1,2,2,2,3,2,3,7,5,3,1,3,3,2,5,100,12.38,3.78,3.287579088,16.04,1.776666667,32.33333333,55.61666667
2018g-06-3,7,5,3,3,3,9,4,3,4,1,1,5,1,5,3,3,5,1,2,2,2,3,1,3,7,5,3,0,3,3,2,3,115,11.26,3.36,3.357696522,14.38,1.533333333,29.33333333,81.27333333
2018g-07-1,7,7,5,5,2,5,4,5,4,1,1,5,1,5,5,3,5,1,4,1,1,0,2,3,7,5,3,1,3,NA,1,3,0,15.4,3.76,4.091806092,21.86,1.323333333,24.66666667,51.33
2019g-04-03,7,9,3,3,3,9,4,5,4,3,2,5,1,5,1,3,3,1,2,1,2,2,1,3,7,5,3,1,3,3,2,3,110,13.9,4.3,3.234466044,21.76,1.913333333,26,51.74333333
2019g-05-05,3,2,3,3,2,9,4,3,3,1,3,3,1,4,7,3,3,1,1,1,2,2,2,3,7,3,2,0,3,3,1,3,90,16.28,4.16,3.953545412,19.7,2.556666667,40.66666667,47.14333333
2019g-05-08,7,9,3,3,3,6,2,3,3,1,2,5,1,5,1,3,5,1,1,1,2,2,2,1,7,0,3,1,3,3,1,5,105,17.24,4.34,3.985477352,21.34,2.656666667,24,68.10666667
2019g-05-09,5,7,3,5,1,5,4,5,4,3,1,3,0,5,7,3,3,1,1,2,2,3,1,2,7,5,2,1,3,3,2,5,90,16.48,4.58,3.608241449,23.78,2.746666667,27.66666667,54.23666667
2019g-08-01,3,3,3,3,3,9,4,3,4,3,1,3,1,4,7,7,3,1,1,1,2,2,2,3,7,0,2,0,3,3,1,5,115,14.36,3.62,3.969323308,16.56,2.3,35,64.47666667
