Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
2011-03-01-;5;5;3;3;3;9;4;3;4;1;1;3;1;5;7;3;5;1;2;1;2;3;1;3;7;3;3;1;3;3;2;5;95;4;6;1;14.08;3.3;4.285730624;14.42;1.94;29.33333333;55.56666667;3.666666667;2.46;32.72;42.21;33.1;9.1;56.33;36.9
11---CONQUISTA-2;5;2;3;3;3;9;3;3;4;1;1;5;1;5;3;3;3;1;2;2;2;3;1;2;7;0;2;0;3;3;2;3;90;4;2;1;10.9;4;2.686159504;16.44;2.386666667;27;58.66666667;5.666666667;1.99;27.73;24.775;20.25;4.51;47.25;36.32
2011-24-156;3;7;3;5;3;9;4;3;4;1;1;5;1;5;1;3;5;1;1;1;2;2;2;3;7;0;3;0;3;3;2;3;100;4;8;1.04;15.42;5;3.091467366;23.56;2.953333333;40.66666667;75.20333333;4;2.2896;19.3884;30.8544;26.79866667;5.034;61.3064;38.0756
2011-34-41;3;3;3;3;2;5;4;3;4;3;1;3;1;5;5;7;5;1;2;1;3;2;2;3;7;5;3;1;4;3;2;7;90;2;4;1.12;14.98;3.9;3.853508323;19.24;2.463333333;27.66666667;72.79333333;7;2.4296;28.93041667;40.74625;32.282;7.438;58.35666667;33.78208333
2011-34-45;9;5;3;7;2;5;4;5;4;1;2;5;1;5;3;7;3;1;3;1;3;2;2;3;7;5;3;0;3;3;2;5;115;2;4;1.666666667;15.56;4.36;3.567244678;27.54;1.93;39.33333333;68.56;4.666666667;2.364666667;24.088;32.30733333;27.554;4.751333333;57.334;37.67133333
2011-34-64;7;7;3;5;2;5;4;5;4;1;1;5;1;5;7;3;5;1;2;1;3;2;1;3;7;5;3;0;4;3;2;3;110;2;4;1;19.56;4.96;3.947180015;25.92;2.65;32.33333333;67.43666667;5.666666667;2.4424;22.5312;32.8968;28.17333333;4.629333333;59.4152;34.16
2011-34-69;7;3;3;3;2;5;4;3;4;1;1;3;1;5;5;3;3;1;1;1;3;2;2;3;7;0;NA;1;3;3;1;7;105;2;4;1.04;13.04;3.3;3.980416667;18.14;3.233333333;30.66666667;63.92333333;5.333333333;2.402;22.7504;40.6036;36.068;6.074;63.8976;34.0332
2012-107-002;3;5;3;3;2;9;2;3;4;3;2;3;1;4;3;3;3;1;1;1;2;2;1;3;7;5;3;0;3;3;1;5;100;2;4;1;15.74;3.42;4.60635101;19.3;1.626666667;33.66666667;61.13666667;5.666666667;2.3408;19.8356;25.7776;17.78933333;5.136;56.6396;38.252
2018g-06-1;7;5;5;3;2;9;4;3;4;1;1;5;1;5;5;3;3;1;1;2;2;3;1;3;7;5;3;0;4;3;2;5;90;3;4;1;13.4;3.28;4.200252109;18.06;1.206666667;27.66666667;47.31333333;8.666666667;1.995;15.485;20.655;11.5;3.16;56.12;37.755
2018g-06-2;3;7;5;3;3;9;2;3;4;3;1;3;1;5;1;3;5;1;2;2;2;3;2;3;7;5;3;1;3;3;2;5;100;4;6;1;12.38;3.78;3.287579088;16.04;1.776666667;32.33333333;55.61666667;4.333333333;1.8;12.075;11.54;0.7;0.77;40.645;35.11
