Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
91;BGM-0011;7;3;5;3;2;9;1;3;3;1;1;5;1;5;3;3;5;1;1;1;1;0;1;2;7;0;2;1;3;3;1;7;0;21.76;5.78;3.76545761;32.24;2.676666667;25;47.21;3.76602569702032;2.06925494828223;2.1600110901704;9.05608970151361;4.31670751381809;2.9003409310266;6.19122222251287;35.2889153282799;24.6518214526549;26.6191972764877;47.4063093528978;2.16963507369517
92;BGM-0014;5;7;3;5;3;6;2;7;3;1;1;5;0;5;3;7;5;1;2;1;2;1;1;2;3;5;2;1;3;3;1;5;110;16.98;5.46;3.112927312;29.74;2.636666667;25.82222222;61.57111111;5.45366655356835;2.02997446594054;1.7536835423376;8.96662995205844;3.79212194654307;3.75196301992367;4.45825632254224;33.3252770591193;12.3951184010581;15.2575514210779;44.9950209475282;1.99070077993071
93;BGM-0016;5;5;5;5;3;7;1;3;1;1;1;3;1;1;3;3;5;1;4;1;1;0;2;1;3;0;2;0;4;7;2;5;0;16.08;6.78;2.373022181;24.72;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;9.11155498124234;4.03559442651072;3.06392172880116;4.90936528784969;34.1641841481215;11.5522899857607;25.666043632158;30.8034581646069;2.18048952790009
97;BGM-0020;7;5;5;7;2;5;4;5;4;3;1;5;1;3;3;3;3;1;1;1;2;3;2;2;7;5;2;1;4;3;2;5;120;18.98;3.96;4.799702517;25.84;2.346666667;29.54166667;62.54833333;4.81835150066494;2.01850888599665;2.19947703516212;8.96662995205844;4.40673141642714;3.60707377706915;5.94088657549791;35.310605263724;20.1918782180786;16.4854865158848;57.7304486986589;1.79717029583411
103;BGM-0025;9;9;5;5;3;9;3;5;3;4;1;5;0;7;3;3;5;1;1;1;2;2;1;2;7;3;3;0;4;7;1;7;90;19.68;3.14;6.320254794;24.24;2.733333333;20.33333333;57.33333333;5.63296288022437;2.08414465617035;2.05804315090305;9.35790587958905;4.43960774836042;3.23035677581749;5.15547368636701;35.0574969700048;19.2058418115347;26.7978684102709;43.0585514197353;2.03711594455735
111;BGM-0035;5;1;5;3;2;7;1;3;1;1;1;5;1;5;3;7;5;1;2;1;2;0;2;2;3;0;3;0;4;3;3;5;100;12.64;4;3.162242826;19.22;2.783333333;27.08888889;53.11555555;7.85020677948608;2.14913999183189;2.33733672190961;8.96662995205844;4.87512003423072;3.77939893066585;6.25043782936294;34.9289683074742;24.6606594359454;25.7482070929888;46.7055447384426;1.80617877166847
118;BGM-0044;5;7;5;3;3;6;3;5;4;1;1;7;0;2;3;7;5;1;1;1;1;0;1;2;7;5;3;0;3;3;2;5;0;10.8;3.52;3.074278904;18.3;2.853333333;26.45833333;69.30416667;6.65159640883907;1.82126652607743;2.19403636844083;8.96662995205844;3.93276959245741;3.02291236141112;6.34714069066767;34.394964095737;24.5846097548875;23.6923390460884;47.376050118173;2.00075841283627
127;BGM-0054;7;5;3;3;2;5;4;5;4;4;2;3;0;5;3;7;5;1;2;1;2;0;1;1;7;5;3;1;4;5;3;5;120;14.68;4.66;3.159751125;23.52;3.813333333;20.625;67.3325;5.83045969618086;2.30984928502489;2.28537791665195;8.96662995205844;3.13048810438223;3.88231385490026;4.42165292813451;33.3264013527723;13.9862344045643;22.5340196642738;35.6523854778229;1.94652279989713
128;BGM-0056;3;3;5;3;3;7;1;3;1;1;1;5;0;5;3;3;5;1;1;1;1;0;2;2;3;5;3;0;4;3;3;5;0;12.2;3.22;3.79625;16.82;3.39;35.97916667;73.11833333;7.27866053785324;2.09636039951037;2.10590291369883;8.96662995205844;4.69059957787702;2.42077776689691;7.59108212804462;34.315104922163;30.2515482680759;23.6639955632495;54.3269004048465;2.05948012219348
130;BGM-0058;9;9;7;3;3;7;2;7;1;4;2;5;0;4;7;3;5;1;1;1;3;1;2;2;3;5;3;0;3;3;3;5;90;21.74;3.44;6.327951681;30.64;1.96;32.55555555;66.14888889;7.32792395675993;2.15575464136649;2.1600110901704;8.19536663192299;4.50456747921733;3.00154086915451;5.86316285017247;33.546268116204;28.9793783699424;29.4021774488478;45.7715625996214;2.40066760568912
132;BGM-0061;5;5;5;3;3;9;3;5;4;2;3;5;1;5;3;3;5;1;1;1;2;1;2;3;7;3;3;0;3;3;1;3;100;10.74;2.48;4.346301003;14.1;2.163333333;23.95833333;55.19666667;7.73726492334894;1.82840911913755;1.80269178742414;8.96662995205844;3.11657559927849;3.63412688722585;5.3469625754272;37.0914955009748;16.1479731287821;22.5949883367708;38.3916855400411;2.0546050903467
135;BGM-0065;5;5;5;3;3;9;3;5;4;3;2;7;0;5;3;7;5;1;2;1;1;0;2;2;7;3;3;0;4;3;1;5;0;12.2;2.84;4.311243386;18.9;3.033333333;27.70833333;70.42666667;5.15411024999123;1.82840911913755;1.98664088383513;8.96662995205844;3.91144252093339;3.19088148616288;7.15104526220311;33.7740643026976;22.5795436527693;20.6950713470356;50.1534623754887;1.91752215194372
150;BGM-0087;3;7;3;5;3;9;4;5;4;3;1;5;1;5;3;7;5;1;2;1;1;0;2;1;7;5;3;0;4;3;2;5;100;16.52;5.02;3.290309201;31.04;3.89;31.875;67.9425;7.92154278878565;1.81694353919366;2.46996001305731;8.96662995205844;4.32844209032166;3.98988930422818;6.13982707927714;34.0914539263528;26.4939155324252;23.699554827898;50.7305894896156;1.87386441167529
152;BGM-0089;9;7;5;7;2;3;4;7;4;1;1;3;0;5;3;3;3;1;1;1;2;0;1;3;7;3;2;0;3;3;2;7;90;20.22;5.1;3.975220233;31.46;1.803333333;20.44444445;52.45;4.08957513558984;2.06925494828223;2.01857268737888;9.12618398918585;2.47268407231056;3.18610387307207;4.48013020813517;34.1950471443598;8.92497359310688;22.4582222430397;24.543954079943;1.9810573285334
