Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
82;Aipim Brasilia;5;7;5;5;3;6;2;5;4;1;2;5;1;7;7;7;5;1;3;1;2;3;1;2;7;3;2;0;3;3;1;5;90;25.1;5.84;4.302870094;2.86;2.293333333;24.83333333;53.59166667;3.73679124424096;2.06925494828223;2.05804315090305;8.96662995205844;3.90059169795554;2.93982538183429;4.72439740007812;34.1325669094091;14.7203206707604;16.5785524477127;47.3964208694825;1.88515256521388
90;BGM-0010;9;3;5;5;2;9;4;5;4;2;1;5;0;5;3;3;5;1;3;1;2;2;2;2;7;5;2;1;3;7;1;7;90;9.22;2.78;3.352915231;10.24;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;9.76929947546804;4.03559442651072;3.54196005663819;7.92436039509212;32.5118756371086;29.536840964584;27.8191965142788;53.7916181352206;2.13867628209059
93;BGM-0016;5;5;5;5;3;7;1;3;1;1;1;3;1;1;3;3;5;1;4;1;1;0;2;1;3;0;2;0;4;7;2;5;0;16.08;6.78;2.373022181;24.72;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;9.11155498124234;4.03559442651072;3.06392172880116;4.90936528784969;34.1641841481215;11.5522899857607;25.666043632158;30.8034581646069;2.18048952790009
96;BGM-0019;3;1;5;3;3;6;2;3;2;2;3;5;0;5;1;3;5;1;2;1;2;2;2;2;7;5;2;1;4;3;1;5;90;13.56;3.4;4.006904936;16.76;3.883333333;22.275;61.78666667;7.66207400551982;2.0398488365804;1.98664088383513;8.96662995205844;3.75882661030452;3.97146083142108;5.38484102794059;36.2414537807038;16.6902592159335;19.5974928075586;42.3750401812781;2.0959028850155
97;BGM-0020;7;5;5;7;2;5;4;5;4;3;1;5;1;3;3;3;3;1;1;1;2;3;2;2;7;5;2;1;4;3;2;5;120;18.98;3.96;4.799702517;25.84;2.346666667;29.54166667;62.54833333;4.81835150066494;2.01850888599665;2.19947703516212;8.96662995205844;4.40673141642714;3.60707377706915;5.94088657549791;35.310605263724;20.1918782180786;16.4854865158848;57.7304486986589;1.79717029583411
106;BGM-0029;3;3;5;3;3;6;3;3;4;4;1;5;1;5;3;3;5;1;2;1;2;2;1;1;7;5;2;0;4;3;2;3;90;17.02;6.06;2.81129848;26.68;4.116666667;23.75;71.69166667;6.02387265172664;2.0398488365804;1.98664088383513;8.96662995205844;3.34595096035922;3.97146083142108;6.27589809284955;34.2648426688946;18.6338428278075;29.0293320650532;38.2468279527359;1.93325086692329
111;BGM-0035;5;1;5;3;2;7;1;3;1;1;1;5;1;5;3;7;5;1;2;1;2;0;2;2;3;0;3;0;4;3;3;5;100;12.64;4;3.162242826;19.22;2.783333333;27.08888889;53.11555555;7.85020677948608;2.14913999183189;2.33733672190961;8.96662995205844;4.87512003423072;3.77939893066585;6.25043782936294;34.9289683074742;24.6606594359454;25.7482070929888;46.7055447384426;1.80617877166847
118;BGM-0044;5;7;5;3;3;6;3;5;4;1;1;7;0;2;3;7;5;1;1;1;1;0;1;2;7;5;3;0;3;3;2;5;0;10.8;3.52;3.074278904;18.3;2.853333333;26.45833333;69.30416667;6.65159640883907;1.82126652607743;2.19403636844083;8.96662995205844;3.93276959245741;3.02291236141112;6.34714069066767;34.394964095737;24.5846097548875;23.6923390460884;47.376050118173;2.00075841283627
121;BGM-0047;5;1;5;3;2;5;3;3;4;3;1;5;1;2;3;3;5;1;3;1;1;1;1;2;7;5;2;0;3;3;1;5;90;17.12;5.46;3.137237324;30.36;3.15;29.83333333;62.7975;6.96908300382572;2.0398488365804;2.26256452845161;8.96662995205844;3.2662963844747;3.36809900470557;4.78962732637559;34.2232231095872;16.5968816012882;19.0975786086542;47.8678848832991;1.90088652186358
123;BGM-0049;7;3;5;3;3;7;1;3;1;2;3;5;1;2;3;3;5;1;2;1;1;0;2;3;3;5;3;0;4;3;2;7;0;14.52;5.04;2.883088235;23.32;2.656666667;36.66666667;66.16;6.94311312151789;2.22400731441378;2.05804315090305;9.48438636347232;4.38390777504655;2.84770087286945;8.18158028560064;37.3243785443933;30.6483893508418;35.4016169346381;43.5091227323537;2.24978703006871
