Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
4;2011-34-41;3;3;3;3;2;5;4;3;4;3;1;3;1;5;5;7;5;1;2;1;3;2;2;3;7;5;3;1;4;3;2;7;90;2;4;1.12;14.98;3.9;3.853508323;19.24;2.463333333;27.66666667;72.79333333;7;2.4296;28.93041667;40.74625;32.282;7.438;58.35666667;33.78208333
8;2012-107-002;3;5;3;3;2;9;2;3;4;3;2;3;1;4;3;3;3;1;1;1;2;2;1;3;7;5;3;0;3;3;1;5;100;2;4;1;15.74;3.42;4.60635101;19.3;1.626666667;33.66666667;61.13666667;5.666666667;2.3408;19.8356;25.7776;17.78933333;5.136;56.6396;38.252
102;Aipim-Brasil;7;3;3;5;2;8;1;5;1;1;1;5;1;2;7;7;5;1;2;1;3;2;1;3;3;3;3;0;3;3;1;3;90;2;NA;1;10.84;3.1;3.496470588;16.62;2.34;23;54.50333333;4.666666667;2.405;20.275;14.93;NA;NA;42.22;32.3
110;BGM-0005;5;5;5;3;3;9;2;5;4;4;1;5;1;2;3;7;5;1;1;1;3;2;2;3;7;3;2;1;3;3;1;5;90;5;4;1.833333333;16.38;5.54;2.95553703;28.96;2.55;26.16666667;48.6225;2.416666667;1.689166667;15.425;6.776666667;3.800909091;3.385454545;33.48166667;35.16636364
111;BGM-0006;3;7;5;3;2;8;1;5;1;3;1;5;1;9;3;7;5;1;1;1;2;2;1;2;3;5;3;1;4;3;2;5;80;3;6;1.5;13.26;2;6.854232804;13.98;2.206666667;26.25;76.9175;4;1.633;13.471;17.905;11.81333333;6.896666667;57.731;32.717
112;BGM-0007;5;7;5;5;3;9;3;5;4;4;1;5;1;2;NA;3;5;1;1;1;2;3;NA;1;7;0;3;1;4;3;1;5;110;3;NA;NA;10.64;3.46;3.119011827;16.18;NA;NA;NA;NA;1.295;3.215;6.57;3.565;3.005;66.63;31.635
114;BGM-0011;7;3;5;3;2;9;1;3;3;1;1;5;1;5;3;3;5;1;1;1;1;0;1;NA;7;0;2;1;3;3;1;7;0;1;4;1.5;21.76;5.78;3.76545761;32.24;2.676666667;25;47.21;5;2.37;33.02;29.25625;24.89714286;8.4825;45.6975;37.9325
116;BGM-0016;5;5;5;5;3;7;1;3;1;1;1;3;1;1;3;3;5;1;4;1;1;0;NA;1;3;0;2;0;4;7;2;5;0;3;NA;NA;16.08;6.78;2.373022181;24.72;NA;NA;NA;NA;2.74;40.428;8.376;4.114;3.55;16.782;36.84333333
119;BGM-0019;3;1;5;3;3;6;2;3;2;2;3;5;0;5;1;3;5;1;2;1;2;2;2;2;NA;5;2;1;4;3;1;5;90;5;8;1.714285714;13.56;3.4;4.006904936;16.76;3.883333333;22.275;61.78666667;4.833333333;2.019090909;18.72909091;14.88090909;10.508;4.772;40.03272727;35.85818182
122;BGM-0022;3;7;5;3;3;6;2;5;3;1;1;5;1;2;3;3;5;1;1;1;2;3;1;2;7;0;2;0;3;3;2;5;120;5;8;1.555555556;18.04;2.9;6.221461412;25.58;2.2;24.125;54.56555556;2.979583333;1.851333333;17.652;14.88733333;10.74;4.124615385;40.35533333;34.58
