Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
1;11-Conquista-2;5;2;3;3;3;9;3;3;4;1;1;5;1;5;3;3;3;1;2;2;2;3;1;2;7;0;2;0;3;3;2;3;90;10.9;4;2.686159504;16.44;2.386666667;27;58.66666667;2.38750816602498;2.06925494828223;2.05804315090305;8.96662995205844;4.03559442651072;3.75346512215304;4.71384745797871;35.8342415362513;21.1594276135939;22.523648451372;46.9412437241355;1.88451586388644
15;2019g-08-12;5;3;3;3;3;9;3;3;4;1;1;5;1;5;3;3;3;1;1;1;1;0;1;4;7;3;3;0;3;7;1;5;0;20.86;5.48;3.806196602;26.74;2.61;35;62.76666667;6.18753892481935;2.06925494828223;1.91503559844617;8.96662995205844;4.03983902054261;3.39368201120258;5.62836309476263;34.8537595984227;15.9236558611876;16.1917435898615;51.0131676159703;1.92716950184028
16;2019g-08-13;3;7;3;3;2;8;2;3;3;1;1;5;1;5;3;3;3;1;1;1;1;0;2;3;7;0;3;0;3;3;2;3;0;20.74;5.16;4.03916271;24.02;1.936666667;35;67.06666667;5.15411024999123;2.06925494828223;2.67932007667004;8.96662995205844;4.77262625846332;3.39368201120258;5.62836309476263;34.4083410928138;28.0578064595258;24.3634938171538;49.6562120696162;1.92716950184028
26;2019g-08-24;3;5;5;3;3;9;2;3;4;1;1;3;1;4;1;7;3;1;1;1;2;2;2;3;3;0;3;0;4;7;2;3;95;15.62;2.62;6.020794212;16.3;2.42;29.33333333;58.38333333;4.28434784825581;2.06925494828223;2.48078920961222;8.96662995205844;4.65872761291892;3.39368201120258;5.62836309476263;32.2013833015058;21.6736245439712;14.4909020627155;60.5728448541314;1.92716950184028
41;2019g-08-40;3;3;5;3;2;8;2;3;3;1;3;5;1;9;3;7;3;1;3;1;2;2;2;3;7;5;3;0;3;3;1;3;80;13.94;2.16;6.528594896;18.72;1.77;21;43.08;6.02387265172664;2.06925494828223;1.91503559844617;8.96662995205844;3.31883381042421;3.39368201120258;5.62836309476263;34.8537595984227;12.0644814778902;14.6440056371722;47.0548356719254;1.92716950184028
42;2019g-08-41;5;5;3;3;3;9;4;3;4;1;2;5;1;4;5;7;5;1;3;1;2;2;2;3;7;0;3;0;3;3;2;5;95;21.14;3.56;6.058531132;28.54;2.663333333;25;59.22333333;4.28434784825581;2.06925494828223;2.1979124040292;8.96662995205844;2.98772841350289;3.39368201120258;5.62836309476263;34.8537595984227;13.0213728179036;15.2257992201076;47.985996410806;1.92716950184028
45;2019g-08-44;7;5;3;3;3;8;2;3;3;1;2;5;1;5;1;3;3;1;4;1;3;2;1;3;7;3;3;0;3;7;2;5;105;15.62;4.14;3.780427273;18.86;1.27;31.66666667;53.52;4.28434784825581;2.06925494828223;2.05546709174044;8.96662995205844;4.28635917047936;3.39368201120258;5.62836309476263;32.8752554952315;19.6064899577795;23.3264085998569;43.7934441560685;1.92716950184028
56;2019g-08-56;3;2;3;3;2;5;4;3;4;3;2;5;1;4;1;7;3;1;1;1;1;0;1;3;7;5;3;0;3;3;1;5;0;21.7;3.3;7.059022006;25.46;1.633333333;17;46.91333333;6.18753892481935;2.06925494828223;1.91503559844617;8.96662995205844;3.88511687244853;3.39368201120258;5.62836309476263;34.8537595984227;13.8288396844014;14.6440056371722;54.1661713534157;1.92716950184028
61;2019g-08-63;5;3;3;3;2;9;2;3;4;3;2;5;1;5;3;3;3;1;3;1;2;2;1;3;7;0;3;0;3;3;1;5;115;17.58;5.06;3.477311402;23.02;2.06;29.33333333;63.05666667;3.4145854465204;2.06925494828223;2.1979124040292;8.96662995205844;5.50969942743634;3.39368201120258;5.62836309476263;31.8359892560633;26.1707264872776;25.1329923381318;47.5042375729296;1.92716950184028
64;2019g-08-67;3;2;5;3;3;8;2;3;2;2;1;5;1;5;5;7;3;1;1;1;2;2;1;3;3;3;3;0;4;3;1;3;80;14.32;3.46;4.145649041;18.58;1.896666667;24.66666667;45.65666667;6.18753892481935;2.06925494828223;1.91503559844617;8.96662995205844;3.83251134209655;3.39368201120258;5.62836309476263;34.8537595984227;13.363324978449;16.255768720998;44.7179457867036;1.92716950184028
