Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
3;2011-24-156;3;7;3;5;3;9;4;3;4;1;1;5;1;5;1;3;5;1;1;1;2;2;2;3;7;0;3;0;3;3;2;3;100;4;8;1.04;15.42;5;3.091467366;23.56;2.953333333;40.66666667;75.20333333;4;2.2896;19.3884;30.8544;26.79866667;5.034;61.3064;38.0756
6;2011-34-64;7;7;3;5;2;5;4;5;4;1;1;5;1;5;7;3;5;1;2;1;3;2;1;3;7;5;3;0;4;3;2;3;110;2;4;1;19.56;4.96;3.947180015;25.92;2.65;32.33333333;67.43666667;5.666666667;2.4424;22.5312;32.8968;28.17333333;4.629333333;59.4152;34.16
102;Aipim-Brasil;7;3;3;5;2;8;1;5;1;1;1;5;1;2;7;7;5;1;2;1;3;2;1;3;3;3;3;0;3;3;1;3;90;2;NA;1;10.84;3.1;3.496470588;16.62;2.34;23;54.50333333;4.666666667;2.405;20.275;14.93;NA;NA;42.22;32.3
103;Aipim-Brasília;5;7;5;5;3;6;2;5;4;1;2;5;1;7;7;7;5;1;3;1;2;3;1;2;7;3;2;0;3;3;1;5;90;2;4;1.055555556;25.1;5.84;4.302870094;2.86;2.293333333;24.83333333;53.59166667;4.833333333;2.022105263;12.97684211;10.34315789;6.475;7.57;45.84473684;35.20055556
115;BGM-0014;5;7;3;5;3;6;2;7;3;1;1;5;0;5;3;7;5;1;2;1;2;1;1;2;3;5;2;1;3;3;1;5;110;5;6;1.5;16.98;5.46;3.112927312;29.74;2.636666667;25.82222222;61.57111111;4.666666667;1.946363636;12.08909091;12.55181818;9.115;4.13;49.97090909;32.552
116;BGM-0016;5;5;5;5;3;7;1;3;1;1;1;3;1;1;3;3;5;1;4;1;1;0;NA;1;3;0;2;0;4;7;2;5;0;3;NA;NA;16.08;6.78;2.373022181;24.72;NA;NA;NA;NA;2.74;40.428;8.376;4.114;3.55;16.782;36.84333333
119;BGM-0019;3;1;5;3;3;6;2;3;2;2;3;5;0;5;1;3;5;1;2;1;2;2;2;2;NA;5;2;1;4;3;1;5;90;5;8;1.714285714;13.56;3.4;4.006904936;16.76;3.883333333;22.275;61.78666667;4.833333333;2.019090909;18.72909091;14.88090909;10.508;4.772;40.03272727;35.85818182
126;BGM-0025;9;9;5;5;3;9;3;5;3;4;1;5;0;7;3;3;5;1;1;1;2;2;1;2;7;3;3;0;4;7;1;7;90;3;6;1;19.68;3.14;6.320254794;24.24;2.733333333;20.33333333;57.33333333;6;2.100666667;31.49;24.70733333;18.83142857;6.327;45.35666667;33.62066667
130;BGM-0030;5;1;5;3;2;7;1;3;1;1;1;5;1;5;3;3;5;1;1;1;2;0;2;2;3;5;3;0;4;3;2;3;80;5;8;2.857142857;11.36;3.62;3.139351773;15.84;2.96;41.375;61.2875;4.866666667;1.648181818;19.74727273;16.85909091;12.872;3.286;44.29272727;33.11545455
131;BGM-0031;7;3;5;3;2;7;1;3;4;4;1;5;0;7;3;7;5;1;2;1;2;3;2;3;7;5;2;1;4;7;2;3;120;5;8;2.666666667;10.76;2.34;4.644083453;14.98;2.943333333;32.66666667;79.6;6.333333333;1.616666667;20.76;17.42333333;11.002;7.1525;42.49166667;32.975
