Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
4;2011-34-41;3;3;3;3;2;5;4;3;4;3;1;3;1;5;5;7;5;1;2;1;3;2;2;3;7;5;3;1;4;3;2;7;90;2;4;1.12;14.98;3.9;3.853508323;19.24;2.463333333;27.66666667;72.79333333;7;2.4296;28.93041667;40.74625;32.282;7.438;58.35666667;33.78208333
13;2019g-04-03;7;9;3;3;3;9;4;5;4;3;2;5;1;5;1;3;3;1;2;1;2;2;1;3;7;5;3;1;3;3;2;3;110;NA;NA;NA;13.9;4.3;3.234466044;21.76;1.913333333;26;51.74333333;2;NA;NA;NA;NA;NA;NA;NA
14;2019g-05-05;3;2;3;3;2;9;4;3;3;1;3;3;1;4;7;3;3;1;1;1;2;2;2;3;7;3;2;0;3;3;1;3;90;NA;NA;NA;16.28;4.16;3.953545412;19.7;2.556666667;40.66666667;47.14333333;1.666666667;NA;NA;NA;NA;NA;NA;NA
15;2019g-05-08;7;9;3;3;3;6;2;3;3;1;2;5;1;5;1;3;5;1;1;1;2;2;2;1;7;0;3;1;3;3;1;5;105;NA;NA;NA;17.24;4.34;3.985477352;21.34;2.656666667;24;68.10666667;3.333333333;NA;NA;NA;NA;NA;NA;NA
16;2019g-05-09;5;7;3;5;1;5;4;5;4;3;1;3;0;5;7;3;3;1;1;2;2;3;1;2;7;5;2;1;3;3;2;5;90;NA;NA;NA;16.48;4.58;3.608241449;23.78;2.746666667;27.66666667;54.23666667;4.333333333;NA;NA;NA;NA;NA;NA;NA
25;2019g-08-11;3;7;3;3;3;8;2;3;1;1;1;5;1;4;7;7;3;1;1;1;2;2;2;3;3;0;3;0;3;7;1;5;95;NA;3;3;20.38;2.52;8.219999999;25.32;2.446666667;28;67.65333333;4;2.66;49.21;29.27;24.9;4.37;37.29;38.08
29;2019g-08-16;5;5;3;7;2;5;4;5;4;1;2;3;1;5;7;3;3;1;1;1;2;2;2;3;7;0;3;1;3;3;1;3;105;NA;4;1;12.7;3.54;3.582168882;14.58;1.823333333;19;51.49;2.666666667;1.68;7.29;10.94;10.94;0;60;NA
30;2019g-08-17;3;7;3;3;3;6;2;3;3;3;1;3;1;5;3;3;3;1;4;1;1;0;1;3;7;3;3;0;3;3;1;5;0;NA;4;5;13.02;3.98;3.294286392;18.4;16.12666667;23.33333333;45.08;3.333333333;2.22;13.02;12.76;7.73;5.03;49.49;34.76
35;2019g-08-22;5;2;3;3;2;9;4;3;4;1;1;5;1;5;7;7;5;1;4;1;1;0;2;3;7;5;3;0;3;3;2;5;0;NA;8;1;19.28;3.78;5.115124576;24.62;1.893333333;15.33333333;50.16;5.666666667;2.67;46.63;49.25;60.65;8.43;51.37;34.07
52;2019g-08-40;3;3;5;3;2;8;2;3;3;1;3;5;1;9;3;7;3;1;3;1;2;2;2;3;7;5;3;0;3;3;1;3;80;NA;6;1;13.94;2.16;6.528594896;18.72;1.77;21;43.08;2.666666667;1.52;3.47;4.28;4.28;0;55.22;NA
