GW/CH,CH,GW/MLST,MR/SH,CE/SH,MR/EH,CE/EH,MR/AC,CE/AC,AM/MLST,MR/MLST,CE/MLST
GW/CH,1,0.7322,0.4443,-0.0311,-0.0311,-0.0311,-0.0311,0.0224,-0.0044,-0.0244,-0.0044,0.0224
CH,0.7322,1,0.4242,-0.0044,-0.0044,-0.0244,-0.0177,0.0157,-0.0044,-0.0044,0.009,0.0425
GW/MLST,0.4443,0.4242,1,-0.011,-0.011,-0.0244,-0.0177,0.0358,0.0157,0.0559,0.0157,0.076
MR/SH,-0.0311,-0.0044,-0.011,1,1,0.6853,0.6719,-0.0177,0.0358,0.0559,0.2099,-0.0445
CE/SH,-0.0311,-0.0044,-0.011,1,1,0.6853,0.6719,-0.0177,0.0358,0.0559,0.2099,-0.0445
MR/EH,-0.0311,-0.0244,-0.0244,0.6853,0.6853,1,0.8929,-0.011,0.0224,0.0425,0.2635,-0.0713
CE/EH,-0.0311,-0.0177,-0.0177,0.6719,0.6719,0.8929,1,-0.0244,0.0224,0.0425,0.2434,-0.0713
MR/AC,0.0224,0.0157,0.0358,-0.0177,-0.0177,-0.011,-0.0244,1,-0.0244,0.0291,0.0693,0.0358
CE/AC,-0.0044,-0.0044,0.0157,0.0358,0.0358,0.0224,0.0224,-0.0244,1,-0.011,-0.011,0.0157
AM/MLST,-0.0244,-0.0044,0.0559,0.0559,0.0559,0.0425,0.0425,0.0291,-0.011,1,0.4041,0.5782
MR/MLST,-0.0044,0.009,0.0157,0.2099,0.2099,0.2635,0.2434,0.0693,-0.011,0.4041,1,0.2099
CE/MLST,0.0224,0.0425,0.076,-0.0445,-0.0445,-0.0713,-0.0713,0.0358,0.0157,0.5782,0.2099,1
