BAG,Pheno,CoreHunter,DARWin,NCSel
CorFolhaApical,0.874281927739704,0.927280374979846,0.838949188938339,0.859395991685268,0.896283727054195
CorPeciolo,0.890618414521795,0.928861262659468,0.79511190066808,0.888226678232008,0.892950647966173
CorFolhaDesenv,0.325754778727977,0.425045478246004,0.162643417858304,0.24898859409247,0.305597994336208
CorNerv,0.585100542193669,0.729374146009644,0.420261434514192,0.462292457141139,0.568331018213336
CorCortexCaule,0.588058805874759,0.74192456278894,0.580062374884544,0.616324627086214,0.662545086648359
CorExternaCaule,0.911336898771211,0.96516879403488,0.914666925594568,0.931415095031027,0.947956322428821
CorEpidCaule,0.982265204647425,0.990298776947693,0.976285335379965,0.982624424031486,0.992694920621758
CorRamosTerm,0.789100594020941,0.918124607613559,0.692609487497307,0.76378882405726,0.829379118203115
CorExternaRzs,0.716154423472098,0.895897211433758,0.814419153588111,0.792664716694688,0.844997274590971
CorCortexRzs,0.844975104578852,0.95315694682344,0.781262455081531,0.770443819845775,0.863934315822687
CorPolpaRzs,0.432496850570132,0.623610995186042,0.413816828010145,0.450615988721781,0.518974217179779
NLobulos,0.461329534721711,0.585746856002274,0.4765804421822,0.446263209761769,0.516559474495154
Pubescencia,0.824642004423236,0.906701676216881,0.87216178834117,0.910878378750037,0.898450558208665
FormaLobuloCentral,0.4229448597552,0.59899571900164,0.40539734818139,0.491352583019262,0.515962617431986
PosicaoPeciolo,0.550075594160548,0.838861134194839,0.567706779933525,0.600597933318711,0.696116376980596
Sinuosidade,0.973371049309228,0.949999820451731,0.99766242758112,0.955758991215001,0.981226037368735
ComprEstip,0.580894475119314,0.724604549308465,0.281193796432043,0.401157043552985,0.513737614331528
HabCrescCaule,0.127295371016215,0.380040179251439,0.165427033996267,0.189278431261202,0.259907150922219
TipoPlan,0.729583290133879,0.835079743277024,0.637685979797088,0.67983559053972,0.746192335453943
MargEstip,0.302227379571451,0.65261316990954,0.165427033996267,0.151096970517114,0.38651774319121
HabRamif,0.736387987180587,0.794877416784935,0.724830464240545,0.762957666973216,0.769964606838443
NiveisRam,0.975766481835956,0.980856032594328,0.964116923749061,0.980102740564938,0.98508992030738
ProemCicatrizesFolhas,0.866407557895842,0.988238511332864,0.744116307259404,0.781281209070204,0.881290899230693
FormaRzs,0.696693624545067,0.842858793317603,0.729410432831409,0.703046741375685,0.768559646103091
TxtEpidermeRzs,0.710917716488231,0.829368151177999,0.901170195997422,0.88654089282209,0.87216178834117
PresPedunculoRzs,0.894298083044931,0.962820789428743,0.897384450527369,0.863460294329346,0.918531687386732
PosicaoRzs,0.576569501744122,0.7898181670189,0.536625104941665,0.600359674497365,0.673160154476376
Flowering,0.865618190004114,0.997366572192774,0.947435136184031,0.984795333456867,0.983441250902828
DestqPelicRz,0.992642659055279,0.972499318498937,0.986176332347393,0.999393868042639,0.999725346988692
DestqCortexRz,0.544520265907689,0.755602387807931,0.472791797066174,0.580663935602925,0.625357825120291
ConstrRzs,0.952428756673666,0.972395850560511,0.996497677359992,0.977062837991746,0.98364163755352
AnguloRamif,0.614446546299343,0.62820659164463,0.601106533487727,0.577827485634408,0.614709786949969
