Data,Method,Trait,SH
BAG,BAG,RetFoliar,0.466444027818092
BAG,BAG,ComprLobulo,0.790509535009375
BAG,BAG,LargLobulo,0.817605818373428
BAG,BAG,RelComprLar,0.505233331839662
BAG,BAG,ComprPeciolo,0.693703215621474
BAG,BAG,EspEntreCasca,0.0188128674784199
BAG,BAG,ComprMedRzs,0.492184761694434
BAG,BAG,DiamMedRzs,0.62409103166667
BAG,BAG,NRPl,0.642146725499504
BAG,BAG,AltPl,0.637821281986609
BAG,BAG,PPA,0.695313600640349
BAG,BAG,FRY,0.666914752208341
BAG,BAG,FRYC,0.299549896543822
BAG,BAG,FRYNC,0.450578167772166
BAG,BAG,IndColh,0.664525140305016
BAG,BAG,DMCsg,0.69541993656207
BAG,BAG,CorFolhaApical,0.874649381045863
BAG,BAG,CorPeciolo,0.893419497246725
BAG,BAG,CorFolhaDesenv,0.331780070660149
BAG,BAG,CorNerv,0.584610457619389
BAG,BAG,CorCortexCaule,0.588299342703687
BAG,BAG,CorExternaCaule,0.910661776639711
BAG,BAG,CorEpidCaule,0.982714417738007
BAG,BAG,CorRamosTerm,0.791052235758965
BAG,BAG,CorExternaRzs,0.716010023065295
BAG,BAG,CorCortexRzs,0.843928274476804
BAG,BAG,CorPolpaRzs,0.434442599431325
BAG,BAG,NLobulos,0.450837985130597
BAG,BAG,Pubescencia,0.819639455811512
BAG,BAG,FormaLobuloCentral,0.426705927545497
BAG,BAG,PosicaoPeciolo,0.560948290121146
BAG,BAG,Sinuosidade,0.972936639858713
BAG,BAG,ComprEstip,0.586382202732086
BAG,BAG,HabCresCaule,0
BAG,BAG,TipoPlan,0.734566786379192
BAG,BAG,MargEstip,0.303839666646552
BAG,BAG,HabRamif,0.736575162363181
BAG,BAG,NiveisRam,0.979104511583825
BAG,BAG,ProemCicatrizesFolhas,0.90947491911518
BAG,BAG,FormaRzs,0.70345256810396
BAG,BAG,TxtEpidermeRzs,0.714640011077921
BAG,BAG,PresPedunculoRzs,0.901296895890101
BAG,BAG,PosicaoRzs,0.590093298458395
BAG,BAG,Flowering,0.867452950552861
BAG,BAG,DestqPelicRz,0.992476003943082
BAG,BAG,DestqCortexRz,0.560129975279865
BAG,BAG,ConstrRzs,0.95174406891734
BAG,BAG,ComprFilotaxia,0.821514120039713
BAG,BAG,AnguloRamif,0.611593633916321
BAG,BAG,PorteMod,0.768684392501375
BAG,BAG,HCNMod,0.637086632701694
Geno,AM/MLST,RetFoliar,0.609249576081954
Geno,AM/MLST,ComprLobulo,0.793246980155372
Geno,AM/MLST,LargLobulo,0.851055580051357
Geno,AM/MLST,RelComprLar,0.525445590610693
Geno,AM/MLST,ComprPeciolo,0.780619742207273
Geno,AM/MLST,EspEntreCasca,0.0243115807513237
Geno,AM/MLST,ComprMedRzs,0.672957344817211
Geno,AM/MLST,DiamMedRzs,0.74292380591989
Geno,AM/MLST,NRPl,0.781964496298276
Geno,AM/MLST,AltPl,0.721668644303949
Geno,AM/MLST,PPA,0.816550491828762
Geno,AM/MLST,FRY,0.830947408614962
Geno,AM/MLST,FRYC,0.80347062167084
Geno,AM/MLST,FRYNC,0.780795636012925
Geno,AM/MLST,IndColh,0.800581116945985
Geno,AM/MLST,DMCsg,0.750768081882073
Geno,AM/MLST,CorFolhaApical,0.892463793845713
Geno,AM/MLST,CorPeciolo,0.861443109055574
Geno,AM/MLST,CorFolhaDesenv,0.216886421327928
Geno,AM/MLST,CorNerv,0.517124698068902
Geno,AM/MLST,CorCortexCaule,0.584168756606415
Geno,AM/MLST,CorExternaCaule,0.918432563913128
Geno,AM/MLST,CorEpidCaule,0.985329955658368
Geno,AM/MLST,CorRamosTerm,0.786497715992396
Geno,AM/MLST,CorExternaRzs,0.753364925629818
Geno,AM/MLST,CorCortexRzs,0.838880859575284
Geno,AM/MLST,CorPolpaRzs,0.481168432311385
Geno,AM/MLST,NLobulos,0.496224310871297
Geno,AM/MLST,Pubescencia,0.897296125473617
Geno,AM/MLST,FormaLobuloCentral,0.454078311943719
Geno,AM/MLST,PosicaoPeciolo,0.564684316299847
Geno,AM/MLST,Sinuosidade,0.962773005238754
Geno,AM/MLST,ComprEstip,0.300063932170002
Geno,AM/MLST,HabCresCaule,0
Geno,AM/MLST,TipoPlan,0.706733590390603
Geno,AM/MLST,MargEstip,0.206995531717441
Geno,AM/MLST,HabRamif,0.707920905115962
Geno,AM/MLST,NiveisRam,0.987930251311558
Geno,AM/MLST,ProemCicatrizesFolhas,0.866893670556864
Geno,AM/MLST,FormaRzs,0.694088286220909
Geno,AM/MLST,TxtEpidermeRzs,0.790415635701529
Geno,AM/MLST,PresPedunculoRzs,0.830349780472111
Geno,AM/MLST,PosicaoRzs,0.584204911001617
Geno,AM/MLST,Flowering,0.911215834289424
Geno,AM/MLST,DestqPelicRz,0.996026586212805
Geno,AM/MLST,DestqCortexRz,0.618490388110358
Geno,AM/MLST,ConstrRzs,0.962618633208531
Geno,AM/MLST,ComprFilotaxia,0.845234043909535
Geno,AM/MLST,AnguloRamif,0.574157242398086
Geno,AM/MLST,PorteMod,0.702494742533539
Geno,AM/MLST,HCNMod,0.557685653867107
Geno,CE/AC,RetFoliar,0.631983311872707
Geno,CE/AC,ComprLobulo,0.803709160166756
Geno,CE/AC,LargLobulo,0.87229816854469
Geno,CE/AC,RelComprLar,0.608058692868984
Geno,CE/AC,ComprPeciolo,0.782631900905064
Geno,CE/AC,EspEntreCasca,0.0243787287284032
Geno,CE/AC,ComprMedRzs,0.668537177186505
Geno,CE/AC,DiamMedRzs,0.801315567689476
Geno,CE/AC,NRPl,0.730615497472702
Geno,CE/AC,AltPl,0.711478209048487
Geno,CE/AC,PPA,0.801387425607223
Geno,CE/AC,FRY,0.816686110171845
Geno,CE/AC,FRYC,0.835618770617655
Geno,CE/AC,FRYNC,0.569333661479756
Geno,CE/AC,IndColh,0.772517570381189
Geno,CE/AC,DMCsg,0.792255991079841
Geno,CE/AC,CorFolhaApical,0.870266644700018
Geno,CE/AC,CorPeciolo,0.894793505410491
Geno,CE/AC,CorFolhaDesenv,0.237749393181163
Geno,CE/AC,CorNerv,0.550388630180243
Geno,CE/AC,CorCortexCaule,0.592062512588314
Geno,CE/AC,CorExternaCaule,0.927513480316551
Geno,CE/AC,CorEpidCaule,0.985324762675489
Geno,CE/AC,CorRamosTerm,0.76257128629585
Geno,CE/AC,CorExternaRzs,0.735627010311266
Geno,CE/AC,CorCortexRzs,0.839816738840446
Geno,CE/AC,CorPolpaRzs,0.417726665738088
Geno,CE/AC,NLobulos,0.49110995032786
Geno,CE/AC,Pubescencia,0.841507212720332
Geno,CE/AC,FormaLobuloCentral,0.375749557620798
Geno,CE/AC,PosicaoPeciolo,0.533835169643269
Geno,CE/AC,Sinuosidade,0.975948610296314
Geno,CE/AC,ComprEstip,0.381346926495242
Geno,CE/AC,HabCresCaule,0
Geno,CE/AC,TipoPlan,0.727387774749995
Geno,CE/AC,MargEstip,0.221780685985139
Geno,CE/AC,HabRamif,0.749874149256548
Geno,CE/AC,NiveisRam,0.976537429004916
Geno,CE/AC,ProemCicatrizesFolhas,0.834648285181383
Geno,CE/AC,FormaRzs,0.629978852483122
Geno,CE/AC,TxtEpidermeRzs,0.779755732946874
Geno,CE/AC,PresPedunculoRzs,0.814393087551531
Geno,CE/AC,PosicaoRzs,0.500076846313536
Geno,CE/AC,Flowering,0.87353969793209
Geno,CE/AC,DestqPelicRz,0.997903923934691
Geno,CE/AC,DestqCortexRz,0.591292325130358
Geno,CE/AC,ConstrRzs,0.972155213134642
Geno,CE/AC,ComprFilotaxia,0.807449876419474
Geno,CE/AC,AnguloRamif,0.577920462665012
Geno,CE/AC,PorteMod,0.696644541412614
Geno,CE/AC,HCNMod,0.593531936194794
Geno,CE/EH,RetFoliar,0.444673896098976
Geno,CE/EH,ComprLobulo,0.815021042731969
Geno,CE/EH,LargLobulo,0.879748829870214
Geno,CE/EH,RelComprLar,0.643299029908063
Geno,CE/EH,ComprPeciolo,0.800775340036669
Geno,CE/EH,EspEntreCasca,0.0242448280298119
Geno,CE/EH,ComprMedRzs,0.721250994450267
Geno,CE/EH,DiamMedRzs,0.651510624879926
Geno,CE/EH,NRPl,0.594095370970296
Geno,CE/EH,AltPl,0.845283711090983
Geno,CE/EH,PPA,0.818132739902477
Geno,CE/EH,FRY,0.832108281374703
Geno,CE/EH,FRYC,0.833500414070103
Geno,CE/EH,FRYNC,0.78101645145653
Geno,CE/EH,IndColh,0.835695039822367
Geno,CE/EH,DMCsg,0.780333861350853
Geno,CE/EH,CorFolhaApical,0.857459026657252
Geno,CE/EH,CorPeciolo,0.845655859740528
Geno,CE/EH,CorFolhaDesenv,0.220460610274715
Geno,CE/EH,CorNerv,0.464024098455853
Geno,CE/EH,CorCortexCaule,0.598225064883228
Geno,CE/EH,CorExternaCaule,0.917107607450862
Geno,CE/EH,CorEpidCaule,0.986531119956779
Geno,CE/EH,CorRamosTerm,0.72548333993848
Geno,CE/EH,CorExternaRzs,0.774874882614392
Geno,CE/EH,CorCortexRzs,0.828501357861042
Geno,CE/EH,CorPolpaRzs,0.411094280748647
Geno,CE/EH,NLobulos,0.466463789624158
Geno,CE/EH,Pubescencia,0.75513621152246
Geno,CE/EH,FormaLobuloCentral,0.43237791699454
Geno,CE/EH,PosicaoPeciolo,0.529797742279386
Geno,CE/EH,Sinuosidade,0.991182513957207
Geno,CE/EH,ComprEstip,0.312903289977546
Geno,CE/EH,HabCresCaule,0
Geno,CE/EH,TipoPlan,0.708190247371531
Geno,CE/EH,MargEstip,0.161947506526385
Geno,CE/EH,HabRamif,0.746165673729996
Geno,CE/EH,NiveisRam,0.956585217481652
Geno,CE/EH,ProemCicatrizesFolhas,0.852148920789731
Geno,CE/EH,FormaRzs,0.72210211952195
Geno,CE/EH,TxtEpidermeRzs,0.864826251396842
Geno,CE/EH,PresPedunculoRzs,0.89625125108578
Geno,CE/EH,PosicaoRzs,0.564174402756705
Geno,CE/EH,Flowering,0.87726422045082
Geno,CE/EH,DestqPelicRz,0.999897765793645
Geno,CE/EH,DestqCortexRz,0.651795357733025
Geno,CE/EH,ConstrRzs,0.98500814319475
Geno,CE/EH,ComprFilotaxia,0.79335106773661
Geno,CE/EH,AnguloRamif,0.580847920065679
Geno,CE/EH,PorteMod,0.729082707531494
Geno,CE/EH,HCNMod,0.615643178339579
Geno,CE/MLST,RetFoliar,0.493185078075367
Geno,CE/MLST,ComprLobulo,0.849171398327936
Geno,CE/MLST,LargLobulo,0.86290902394242
Geno,CE/MLST,RelComprLar,0.561396393005193
Geno,CE/MLST,ComprPeciolo,0.823989178798141
Geno,CE/MLST,EspEntreCasca,0.0237883317862153
Geno,CE/MLST,ComprMedRzs,0.528987861064757
Geno,CE/MLST,DiamMedRzs,0.700608163225524
Geno,CE/MLST,NRPl,0.765722661078215
Geno,CE/MLST,AltPl,0.791568288419094
Geno,CE/MLST,PPA,0.851906750989148
Geno,CE/MLST,FRY,0.909998094923555
Geno,CE/MLST,FRYC,0.869424312588344
Geno,CE/MLST,FRYNC,0.741090201197561
Geno,CE/MLST,IndColh,0.791956828617698
Geno,CE/MLST,DMCsg,0.734799477667714
Geno,CE/MLST,CorFolhaApical,0.871493867098362
Geno,CE/MLST,CorPeciolo,0.889584962816285
Geno,CE/MLST,CorFolhaDesenv,0.211358848717313
Geno,CE/MLST,CorNerv,0.563571745437897
Geno,CE/MLST,CorCortexCaule,0.559775417454415
Geno,CE/MLST,CorExternaCaule,0.90571422731573
Geno,CE/MLST,CorEpidCaule,0.973624410193925
Geno,CE/MLST,CorRamosTerm,0.74006935521448
Geno,CE/MLST,CorExternaRzs,0.744451824977332
Geno,CE/MLST,CorCortexRzs,0.819536713057877
Geno,CE/MLST,CorPolpaRzs,0.46072538077851
Geno,CE/MLST,NLobulos,0.435036774780958
Geno,CE/MLST,Pubescencia,0.907063581622761
Geno,CE/MLST,FormaLobuloCentral,0.386938318657945
Geno,CE/MLST,PosicaoPeciolo,0.538199811823594
Geno,CE/MLST,Sinuosidade,0.973349786216423
Geno,CE/MLST,ComprEstip,0.336565071085958
Geno,CE/MLST,HabCresCaule,0
Geno,CE/MLST,TipoPlan,0.701026815055509
Geno,CE/MLST,MargEstip,0.236255515332415
Geno,CE/MLST,HabRamif,0.731947200970661
Geno,CE/MLST,NiveisRam,0.979683532357899
Geno,CE/MLST,ProemCicatrizesFolhas,0.900902695447897
Geno,CE/MLST,FormaRzs,0.713084219677486
Geno,CE/MLST,TxtEpidermeRzs,0.700967109936604
Geno,CE/MLST,PresPedunculoRzs,0.794057472299474
