BAG,Pheno - GW/CH,Pheno - CH,Pheno - GW/MLST,Geno - MR/SH,Geno - CE/SH,Geno - MR/EH,Geno - CE/EH,Geno - MR/AC,Geno - CE/AC,Geno - AM/MLST,Geno - MR/MLST,Geno - CE/MLST
CorFolhaApical,0.874281927739704,0.939163726134359,0.923599995493759,0.925406129266964,0.858420276128011,0.858420276128011,0.85139779092066,0.861633677381809,0.866534500412306,0.878968172490543,0.891704166855824,0.849220141142629,0.86827675813244
CorPeciolo,0.890618414521795,0.920920255262918,0.924995045149038,0.92193485174803,0.818147426825203,0.818147426825203,0.804492583071291,0.827192694178527,0.890270722609021,0.908372538638928,0.866475726473285,0.881566267078682,0.899077936363558
CorFolhaDesenv,0.325754778727977,0.450015478417014,0.456095977989303,0.467879752049694,0.170637397409255,0.170637397409255,0.188496417119351,0.179713011608602,0.196716597461769,0.228927629105475,0.221030702745488,0.227715246658639,0.279007594206503
CorNerv,0.585100542193669,0.73834906645042,0.730608456302234,0.710334495776173,0.438298412619199,0.438298412619199,0.4438214756322,0.431294590301259,0.517204291896451,0.640499213418729,0.473167881871708,0.471828027497448,0.561592990471231
CorCortexCaule,0.588058805874759,0.732092795251657,0.7376861228593,0.736674664962762,0.583516415596035,0.583516415596035,0.580068884244416,0.593670930311393,0.549526908180235,0.612149845947343,0.631201526287198,0.552555344950717,0.635484992237332
CorExternaCaule,0.911336898771211,0.962228457227142,0.963026545095395,0.977240265832922,0.925628819180817,0.925628819180817,0.923290252838095,0.937067031745762,0.914061175592413,0.926523540310009,0.939431855359155,0.89978365044993,0.944688849079908
CorEpidCaule,0.982265204647425,0.989630193102515,0.988351194555571,0.990878376805174,0.97419704270627,0.97419704270627,0.980854407594536,0.979099595943536,0.977135977135602,0.962350631102988,0.985931511114648,0.980448547823782,0.982731230929285
CorRamosTerm,0.789100594020941,0.90736344026152,0.919323295510933,0.882052666237967,0.733574364137945,0.733574364137945,0.731117331187307,0.715789859044312,0.787139594017766,0.785600247738794,0.749385420485183,0.744095935793181,0.799486866116467
CorExternaRzs,0.716154423472098,0.892262960248894,0.894711855457817,0.896887926572424,0.792170553586847,0.792170553586847,0.80760260997487,0.816109417657535,0.765721698430806,0.715023392356878,0.784122987566851,0.772145531512687,0.753954956943935
CorCortexRzs,0.844975104578852,0.942970479532633,0.931842595839024,0.922013312918632,0.787575181267667,0.787575181267667,0.811190992770108,0.799882391403729,0.93050853548124,0.854054282424518,0.791581604328118,0.775418909991579,0.83490952773258
CorPolpaRzs,0.432496850570132,0.602126874266236,0.605368534439587,0.620453635330671,0.437556137140514,0.437556137140514,0.388498115140203,0.42314588038019,0.439872295786419,0.480566315812747,0.466601143662759,0.416424549994296,0.463972905675217
NLobulos,0.461329534721711,0.567313850805109,0.585479202834775,0.520086324479192,0.497239259076304,0.497239259076304,0.514411307928876,0.492767318127291,0.421102325980888,0.425575647649179,0.445711220348107,0.418737849174573,0.44682199591451
Pubescencia,0.824642004423236,0.903593606980866,0.88994877894241,0.965802879510896,0.88994877894241,0.88994877894241,0.816017297342826,0.816017297342826,0.882758678795512,0.88994877894241,0.916274699969105,0.875319825606542,0.910053429013919
