BAG,Pheno - GW/CH,Pheno - CH,Pheno - GW/MLST,Geno - MR/SH,Geno - CE/SH,Geno - MR/EH,Geno - CE/EH,Geno - MR/AC,Geno - CE/AC,Geno - AM/MLST,Geno - MR/MLST,Geno - CE/MLST
ComprFilotaxia,0.663551798194327,0.787761774367341,0.773198965573223,0.792359906326727,0.633525478840306,0.633525478840306,0.655680469084697,0.667974225574012,0.656043287301784,0.660506943318585,0.655680469084697,0.639507502906826,0.641435298535869
ComprLobulo,0.790460364849811,0.859275052718463,0.849794603623771,0.858426179782609,0.754335934052767,0.754335934052767,0.770275977465208,0.795578979297599,0.791135553227655,0.811205162224241,0.784516544752479,0.728123523147175,0.815292564052427
LargLobulo,0.817237217384814,0.8764873364344,0.894083288353384,0.868283210877004,0.824019235722862,0.824019235722862,0.81051952674509,0.81359170447587,0.825274744581343,0.822368333220614,0.842289288171188,0.840953207619156,0.839419881354045
RelComprLar,0.504260259918077,0.571992244771042,0.53471269173299,0.569891617823079,0.421144462875535,0.421144462875535,0.412672937485263,0.428142975269367,0.516569392963337,0.545827995896687,0.558614714715779,0.538743608595683,0.510456844452424
ComprPeciolo,0.701191729705613,0.800084867184184,0.805572514763035,0.77537605610475,0.694640494858527,0.694640494858527,0.690402985102027,0.702824311666421,0.671659361390836,0.687317568064118,0.725937547658267,0.657927643057005,0.757803928060806
EspEntreCasca,0.0179812425732917,0.0410577064751031,0.0410577064751031,0.0205390415187355,0.0205390415187355,0.0205390415187355,0.0205390415187355,0.0205390415187355,3.21274302234617e-48,3.21274302234617e-48,0.0205390415187355,0.0363968292795062,0.0205390415187355
ComprMedRzs,0.470860033661483,0.564432567394517,0.550211939759842,0.560526551138746,0.405847220851717,0.405847220851717,0.384434899150174,0.365994980332019,0.437609632090493,0.498382638767414,0.484955747478295,0.479010712081632,0.513727515058516
DiamMedRzs,0.600405947942263,0.673220806714149,0.687304895609842,0.702268586958234,0.549987184200337,0.549987184200337,0.593041310537115,0.595811016771495,0.561174639056804,0.571869020416192,0.519480291027727,0.556807382513017,0.568021297755843
HCNPic,0.871836793698058,0.879084608965398,0.885061224153364,0.852151363367749,0.831527726347306,0.831527726347306,0.838248455227388,0.848649278487093,0.89409388925852,0.866451761569339,0.847462279674426,0.851077102862817,0.864463506852812
NR,0.684085245712228,0.742463430937446,0.732526909618681,0.712516078190416,0.706751080978095,0.706751080978095,0.711033198828373,0.701345482243182,0.693736484037315,0.65158330929483,0.66736081362875,0.728559814877133,0.681685474718667
PA,0.812851801160739,0.832978099777953,0.81297802758324,0.811304970234846,0.797216475926078,0.797216475926078,0.812973085817131,0.823894550384124,0.816552068211117,0.84085043839218,0.821763752669462,0.802589602631867,0.775002089663917
DRY,0.717222271486174,0.73944495234422,0.755014426301149,0.758084723623788,0.701226572867054,0.701226572867054,0.700823796709985,0.684739764660086,0.657851695981577,0.743673317312081,0.674296858794843,0.725327511372163,0.720353791926615
DMCsg,0.70825858452519,0.770925797960861,0.771928330939431,0.774718253282881,0.732555615293565,0.732555615293565,0.737633534455624,0.692868778677977,0.676964445655181,0.7094684760036,0.726004274074739,0.739753323563675,0.666590896724616
PTR,0.764982922793076,0.807791146875579,0.807745144052589,0.778557230175566,0.738244228368932,0.738244228368932,0.746309837408987,0.728218027220356,0.711325375646533,0.758412362995635,0.717232892358787,0.765501873103447,0.71115236912885
PPA,0.782051788589567,0.832695061123869,0.827818324562714,0.810255780389128,0.751049633931403,0.751049633931403,0.744765487438968,0.734609504781278,0.743185589389454,0.805373540673004,0.762036484540548,0.815685367675947,0.789192777755148
IC,0.758589649365472,0.843817443348184,0.849232420750669,0.869294084147494,0.787398025739697,0.787398025739697,0.800325194235192,0.804962509582624,0.738978428199909,0.754424129698894,0.758977448859142,0.810421538385654,0.729002801766051
